date_received,product,sub_product,issue,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,client_id
03-07-2014,Bank account or service,Checking account,Deposits and withdrawals,Email,09-07-2014,Closed with explanation,Yes,CR0922485,1925
12-04-2012,Bank account or service,Savings account,"Account opening, closing, or management",Email,13-04-2012,Closed with relief,Yes,CR0057298,3141
03-04-2012,Bank account or service,Checking account,"Account opening, closing, or management",Email,03-04-2012,Closed without relief,Yes,CR0043811,297
14-03-2012,Credit card,Loan account,Billing disputes,Email,14-03-2012,Closed with relief,Yes,CR0035411,4275
05-03-2012,Bank account or service,Checking account,"Account opening, closing, or management",Email,06-03-2012,Closed with relief,Yes,CR0030939,900
05-03-2012,Bank account or service,Checking account,Problems caused by my funds being low,Email,05-03-2012,Closed with relief,Yes,CR0030070,11596
23-02-2012,Credit card,Loan account,Other fee,Email,24-02-2012,Closed without relief,Yes,CR0013328,2716
07-12-2011,Credit card,Loan account,Collection debt dispute,Email,29-02-2012,Closed without relief,Yes,CR0003732,146
27-03-2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,27-03-2017,Closed with explanation,Yes,CR2405000,778
21-03-2017,Credit card,Loan account,Other,Fax,21-03-2017,Closed with non-monetary relief,Yes,CR2398334,706
20-03-2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,21-03-2017,In progress,Yes,CR2395319,2065
07-03-2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,09-03-2017,Closed with explanation,Yes,CR2375209,298
03-03-2017,Bank account or service,Checking account,"Account opening, closing, or management",Fax,08-03-2017,Closed with monetary relief,Yes,CR2371479,2926
02-03-2017,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,06-03-2017,Closed with explanation,Yes,CR2368953,3552
21-02-2017,Bank account or service,Savings account,Deposits and withdrawals,Fax,24-02-2017,Closed with monetary relief,Yes,CR2353277,438
16-02-2017,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,22-02-2017,Closed with explanation,Yes,CR2347888,11252
03-02-2017,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,Fax,07-02-2017,Closed with explanation,Yes,CR2327253,7366
31-01-2017,Credit card,Loan account,Other,Fax,03-02-2017,Closed with explanation,Yes,CR2319065,4459
30-01-2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Fax,02-02-2017,Closed with explanation,Yes,CR2318000,2463
09-01-2017,Credit card,Loan account,Other,Fax,10-01-2017,Closed with explanation,Yes,CR2281296,1075
